Message,Message_Token,Message_Tagged,Hatespeech_Level,Hatespeech,Sentiment,hatx,Emotion
ไปตรวจชื้อทำไมเครื่องคนไทยจะตายอยุ่แล้วคนไทยไปอยุ่ประเทศพม่าชิ..มันไล่คนไทยออกจากประเทศเขา..แต่คนไทยกับรัยพม่าเข้าเต็มบ้านเมืองเลย,ไปตรวจ|ชื้อ|ทําไม|เครื่อง|คนไทย|จะตาย|อยุ่|แล้ว|คนไทย|ไป|อยุ่|ประเทศพม่า|ชิ|มัน|ไล่|คนไทย|ออกจาก|ประเทศ|เขา|แต่|คนไทย|กับ|รัย|พม่า|เข้า|เต็ม|บ้านเมือง|เลย,ไปตรวจ|ชื้อ|ทําไม|เครื่อง|#คนไทย|#จะตาย|#อยู่|#แล้ว|คนไทย|ไป|อยู่|ประเทศพม่า|ชิ|มัน|ไล่|คนไทย|ออกจาก|ประเทศ|เขา|แต่|คนไทย|กับ|รัย|พม่า|เข้า|เต็ม|บ้านเมือง|เลย,-1,Hatespeech,Negative,ไปตรวจ ชื้อ ทําไม เครื่อง #คนไทย #จะตาย #อยู่ #แล้ว คนไทย ไป อยู่ ประเทศพม่า ชิ มัน ไล่ คนไทย ออกจาก ประเทศ เขา แต่ คนไทย กับ รัย พม่า เข้า เต็ม บ้านเมือง เลย,Anger
คาดว่า ถ้าพม่า กลุ่มไหนตายก่อน น่าจะเป็น กลุ่มนั้น ที่ นำเชื้อ เข้ามา #เป็นการคาดการณ์นะค่ะ,คาดว่าถ้าพม่า|กลุ่มไหน|ตาย|ก่อน| |น่าจะเป็น|กลุ่มนั้น| |ที่| |นํา|เชื้อ| |เข้ามา|เป็นการคาดการณ์|นะค่ะ,คาดว่าถ้า|#พม่า|กลุ่มไหน|#ตาย|ก่อน| |น่าจะเป็น|กลุ่มนั้น| |ที่| |#นํา|#เชื้อ| |#เข้ามา|เป็นการคาดการณ์|นะค่ะ,-1,Hatespeech,Negative,คาดว่าถ้า #พม่า กลุ่มไหน #ตาย ก่อน   น่าจะเป็น กลุ่มนั้น   ที่   #นํา #เชื้อ   #เข้ามา เป็นการคาดการณ์ นะค่ะ,Anger
ถ้ายอมรักษาให้ฟรีทุกกรณี แม้แต่แรงงานผิดกฏหมายพวกพม่าอาจลักลอบเข้ามาเพิ่มขึ้น เพราะดีกว่านอนรอความตายที่พม่า เราว่าไม่ควรรักษาฟรี,ถ้ายอม|รักษา|ให้|ฟรี|ทุกกรณี|แม้แต่แรงงาน|ผิดกฏหมาย|พวก|พม่า|อาจ|ลักลอบ|เข้ามา|เพิ่มขึ้น|เพราะดีกว่า|นอน|รอ|ความตาย|ที่|พม่า|เราว่าไม่ควร|รักษา|ฟรี,ถ้ายอม|รักษา|ให้|ฟรี|ทุกกรณี|แม้แต่แรงงาน|ผิดกฏหมาย|#พวก|#พม่า|#อาจ|#ลักลอบ|#เข้ามา|#เพิ่มขึ้น|#เพราะดีกว่า|#นอน|#รอ|#ความตาย|#ที่|#พม่า|เราว่าไม่ควร|รักษา|ฟรี,-1,Hatespeech,Negative,ถ้ายอม รักษา ให้ ฟรี ทุกกรณี แม้แต่แรงงาน ผิดกฏหมาย #พวก #พม่า #อาจ #ลักลอบ #เข้ามา #เพิ่มขึ้น #เพราะดีกว่า #นอน #รอ #ความตาย #ที่ #พม่า เราว่าไม่ควร รักษา ฟรี,Anger
เราไม่เคยรังเกียจเราคือเพื่อนกันพี่น้องกันผมเคยไปหากินที่พม่าเค้าดูแลผมดีมากขอบคุณเช่นกัน,เราไม่เคย|รังเกียจ|เรา|คือ|เพื่อนกัน|พี่น้อง|กัน|ผมเคย|ไป|หากิน|ที่|พม่า|เค้า|ดูแล|ผม|ดีมาก|ขอบคุณ|เช่นกัน,,1,Nonhatespeech,Neutral,,trust
ปิดประเทศแทบตายสุดท้ายโดนพม่าตีเมือง สองวันติด 689 คน เสียกรุงครั้งที่ 3 #สู้โควิดด้วยกัน? #Covid_19 #โควิดสมุทรสาคร,ปิด|ประเทศ|แทบตาย|สุดท้าย|โดน|พม่า|ตี|เมือง| |สองวัน|ติด|คน |เสีย|กรุง|ครั้งที่| |สู้|โค|วิด|ด้วยกัน| |โค|วิด|สมุทรสาคร,,0,Nonhatespeech,Positive,,Others
พม่ามันไวจะตาย คนไทยไม่ทัน .มันส่งภาษากะโดดหายเลย,พม่า|มัน|ไว|จะตาย| |คนไทย|ไม่ทัน|มันส่ง|ภาษา|กะ|โดด|หาย|เลย,#พม่า|#มัน|#ไว|#จะตาย| |คนไทย|ไม่ทัน|มันส่ง|ภาษา|กะ|โดด|หาย|เลย,-1,Hatespeech,Negative,#พม่า #มัน #ไว #จะตาย   คนไทย ไม่ทัน มันส่ง ภาษา กะ โดด หาย เลย,disagreeable
ตายชะพม่า,ตาย|ชะ|พม่า,#ตาย|#ชะ|#พม่า,-2,Hatespeech,Negative,#ตาย #ชะ #พม่า,Anger
เมืองไทยยุวด้กับพม่า พม่าช่วยทำงานส่งออกห้ เลยสงสารพม่า คุนหมอบอกว่าสงสารเขา เขาม่สบายเราต้องช่วยกันรักษา พอคนไทยอดมื้อกินมื้อม่สนใจ น้ำท่วมภาคใต้เกือบทุกจว.มาแค่นครก้อกลับ พอรอบสองน้ำท่วมหนักชายแดนใต้ม่เหนหัวสักคน เวรกรรม,เมืองไทย|ยุว|ด้|กับ|พม่า| |พม่า|ช่วย|ทํางาน|ส่งออก|ห้| |เลย|สงสาร|พม่า| |คุน|หมอบอกว่า|สงสาร|เขา|เขาม่|สบาย|เราต้อง|ช่วยกัน|รักษา|พอคนไทย|อด|มื้อ|กิน|มื้อ|ม่|สนใจ| |น้ําท่วม|ภาคใต้|เกือบทุก|จว|มา|แค่|นคร|ก้อ|กลับ|พอรอบสอง|น้ําท่วม|หนัก|ชายแดนใต้|ม่|เหน|หัว|สักคน| |เวรกรรม,,1,Nonhatespeech,Neutral,,trust
แรงงานผิดกฏหมายนี้แหละจะแพร่เชื้อ...เขาก็รู้ถ้าถูกจับได้แล้วจะมีผลอย่างไรในอนาคต..คงจะหนี้ไปเรื่อยๆ ไม่กลับพม่า ก็ไปสถานที่อื่นที่ยังมีเพื่อน พี่ น้อง จะคุมการระบาดยาก. คนไทยที่รับแรงงานพม่าผิดกฏหมายมาทำงานละ..????..เราอยู่กับโควิคมาหลายเดือนแล้ว....คนที่รับแรงงานผิดกฏหมายมาทำงานคิดอย่างไร???,แรงงาน|ผิดกฏหมาย|นี้แหละ|จะ|แพร่|เชื้อ|เขาก็|รู้|ถ้า|ถูกจับ|ได้แล้ว|จะมีผล|อย่างไร|ในอนาคต|คงจะ|หนี้|ไปเรื่อยๆ|ไม่กลับ|พม่า| |ก็ไป|สถานที่|อื่นที่|ยังมี|เพื่อน|พี่น้องจะคุม|การระบาด|ยาก| |คนไทย|ที่รับ|แรงงาน|พม่า|ผิดกฏหมาย|มาทํางาน|ละ|เรา|อยู่กับ|โค|วิค|มาหลาย|เดือนแล้ว|คนที่|รับ|แรงงาน|ผิดกฏหมาย|มาทํางาน|คิดอย่างไร,,0,Nonhatespeech,Positive,,Anticipation
อย่างน้อยผมก็ไม่ได้ว่าพวกคุณ..สู้ๆๆครับ...เราจะสู้ไปด้วยกัน....โรคร้ายหาย..ผมจะไปหาสาวพม่าสักคนครับ..มีไหม.....อย่าว่าผมเด้อ..อิอิๆๆ,อย่างน้อยผมก็|ไม่ได้ว่า|พวกคุณ|สู้ๆๆ|ครับ|เราจะ|สู้|ไปด้วยกัน|โรคร้าย|หาย|ผม|จะไปหา|สาว|พม่า|สักคน|ครับ|มี|ไหม|อย่า|ว่าผม|เด้อ|อิอิ|ๆๆ,,1,Nonhatespeech,Neutral,,trust
ควายโทษแต่ชาวบ้านแรงพม่านำโรคเข้ามาทั้งนั้นกูกักตัวแทปตายสัส,ควาย|โทษ|แต่|ชาวบ้าน|แรง|พม่า|นํา|โรค|เข้ามา|ทั้งนั้น|กู|กักตัว|แท|ป|ตาย|สัส,#ควาย|#โทษ|แต่|ชาวบ้าน|แรง|#พม่า|#นํา|#โรค|เข้ามา|ทั้งนั้น|กู|#กักตัว|#แทบ|#ตาย|#สัส,-1,Hatespeech,Negative,#ควาย #โทษ แต่ ชาวบ้าน แรง #พม่า #นํา #โรค เข้ามา ทั้งนั้น กู #กักตัว #แทบ #ตาย #สัส,Anger
ขอเป็นกำลังใจให้เพื่อนบ้านชาวพม่าทุกคนค่ะ,ขอเป็น|กําลังใจ|ให้|เพื่อนบ้าน|ชาวพม่า|ทุกคน|ค่ะ,,1,Nonhatespeech,Neutral,,trust
ขอบคุณคนไทยมีน้ำใจช่วยเหลือชาวพม่านะคะขอบคุณจริงๆค่ะ,ขอบคุณคนไทย|มีน้ําใจ|ช่วยเหลือ|ชาวพม่า|นะคะ|ขอบคุณ|จริงๆค่ะ,,1,Nonhatespeech,Neutral,,trust
You Do You รัฐบาลเฮงซวย แพทย์ท่านนึงกล่าวว่า ไวรัสจะไม่สามารถเข้าโจมตีร่างกายมนุษย์ได้ถ้าร่างกายมีภูมิต้านที่ดี คนแก่ตั้ง 65 ปีขึ้นไป คนที่มีความเครียด ซึมเศร้า และอื่นๆ แทนที่จะมาหาวิธี ป้องกัน ให้ปชช นอกจากบอกสวมแมส ล้างมือ ควรแนะนำ เสริมสร้างร่างกายแบบไหน และ วัคซีนจะมาเมื่อไหร่ ทวีศิลป์ กลับมาสร้างความกลัวแตกตื่นให้ปชช,รัฐบาลเฮงซวย| |แพทย์|ท่าน|นึง|กล่าวว่า| |ไวรัส|จะไม่|สามารถเข้า|โจมตี|ร่างกาย|มนุษย์|ได้|ถ้า|ร่างกาย|มี|ภูมิ|ต้าน|ที่ดี| |คนแก่|ตั้ง| |ปีขึ้นไป| |คนที่มี|ความเครียด| |ซึมเศร้า| |และอื่นๆ|แทนที่จะมา|หาวิธี| |ป้องกัน| |ให้|ปชช|นอกจากบอก|สวม|แมส| |ล้างมือ|ควรแนะนํา| |เสริมสร้าง|ร่างกาย|แบบไหน|และ |วัคซีน|จะมา|เมื่อไหร่| |ทวี|ศิลป์| |กลับมา|สร้างความ|กลัว|แตกตื่น|ให้|ปชช,,0,Nonhatespeech,Neutral,,Others
มีเพื่อนร่วมงานเป็นพม่าเหมือนกัน นิสัยดี ขยัน,มีเพื่อน|ร่วมงาน|เป็น|พม่า|เหมือนกัน| |นิสัยดี| |ขยัน,,1,Nonhatespeech,Neutral,,trust
มันหน้าที่กูหรอที่ต้องช่วยเหลือ ดูแลตัวเองกับครอบครัวก็เหนื่อยจะแย่แล้ว ความผิดใครปล่อยพม่าเข้ามารับส่วยจนเคยชิน ไอ้พวกราชการเซงเคร็ง ใครๆก็รู้มหาชัยดงพม่าชัดๆพึ่งย้ายมาอยู่ไทยหรือไง,มันหน้าที่|กู|หรอ|ที่ต้อง|ช่วยเหลือ| |ดูแลตัวเอง|กับ|ครอบครัว|ก็|เหนื่อย|จะ|แย่|แล้ว| |ความผิด|ใคร|ปล่อย|พม่า|เข้ามา|รับ|ส่วย|จน|เคย|ชิน| |ไอ้พวก|ราชการ|เซง|เคร|็ง| |ใครๆก็|รู้|มหาชัย|ดง|พม่า|ชัดๆ|พึ่ง|ย้ายมาอยู่|ไทย|หรือไง,,0,Nonhatespeech,Positive,,Others
เราจ๊ะสู้ไปด้วยกันนะ//ขอให้คนพม่าและคนไทยทุกคนที่ดิดโควิด 19 หายไวๆๆกลับมาแข็งแรงเหมือนเดิมค่ะสู้ๆๆๆค่ะเป็นกำลังใจให้ทุกๆๆคน,เราจ๊ะ|สู้|ไปด้วยกัน|นะ|ขอให้|คน|พม่า|และ|คนไทยทุกคน|ที่|ดิ|ด|โค|วิด| |หายไวๆ|ๆ|กลับมา|แข็งแรง|เหมือนเดิม|ค่ะ|สู้ๆๆ|ๆ|ค่ะ|เป็น|กําลังใจ|ให้|ทุกๆ|ๆ|คน,,1,Nonhatespeech,Neutral,,trust
โปรไฟล์ไม่มี แต่เป็นของดีประจำจังหวัด นั้นข้าต้องเผาเมืองทิ้งเป็นแน่พม่าจะบุกมากกว่านี้,โปรไฟล์|ไม่มี|แต่เป็นของ|ดี|ประจํา|จังหวัด| |นั้น|ข้า|ต้อง|เผา|เมือง|ทิ้ง|เป็น|แน่|พม่า|จะ|บุก|มากกว่านี้,,0,Nonhatespeech,Positive,,Others
# ไทยแลนด์สู้ๆ..พี่น้องพม่าสู้ๆ# ::: ขอบคุณและให้กำลังใจคุณหมอคุณพยาบาลทีมงานทุกคนทุกฝ่าย..คนไทยทุกคน ::: สู้โว้ย ตามนี้,ไทยแลนด์|สู้ๆ|พี่น้อง|พม่า|สู้ๆ|ขอบคุณและให้|กําลังใจ|คุณหมอ|คุณ|พยาบาล|ทีมงาน|ทุกคน|ทุกฝ่าย|คนไทยทุกคน| |สู้|โว้ย| |ตามนี้,,1,Nonhatespeech,Neutral,,trust
ไปด่าเขาทําไมมันเกิดขึ้นแล้วเราต้องช่วยกันไม่ว่าเขาจะเป็นพม่าหรึอไทยเราคนรักกันเข้ามันเป็นกรรมของมนุษย์,ไป|ด่า|เขา|ทําไมมัน|เกิดขึ้น|แล้ว|เราต้อง|ช่วยกัน|ไม่|ว่าเขาจะ|เป็น|พม่า|ห|รึ|อ|ไทย|เรา|คน|รักกัน|เข้า|มันเป็น|กรรม|ของมนุษย์,,1,Nonhatespeech,Neutral,,trust
เอามาอีกพม่านะให้มันตายห้าเมิดสะ,เอามา|อีก|พม่า|นะ|ให้มัน|ตาย|ห้า|เ|มิด|สะ,เอามา|อีก|พม่า|นะ|#ให้มัน|#ตาย|#ห้า|#เมิด|#สะ,-1,Hatespeech,Negative,เอามา อีก พม่า นะ #ให้มัน #ตาย #ห้า #เมิด #สะ,Anger
บอกให้คนพม่าที่คุย?รู้เรื่อง?บอกพี่น้อง?ชาว?พม่าอย่าพึ่งมาตอนนี้ไก้ไหม.. บอกมันให้หน่อยขอร้อง,บอกให้|คน|พม่า|ที่|คุย|รู้เรื่อง|บอก|พี่น้อง|ชาวพม่า|อย่าพึ่ง|มา|ตอนนี้|ได้|ไหม|บอกมัน|ให้หน่อย|ขอร้อง,,0,Nonhatespeech,Negative,,Sadness
พม่ามันยึดสมุทรสาครได้แล้วจริงๆ ส่งไส้ศึกมาขนาดนี้งามไส้แล้ว ยังจะมาอีก60000ทัพหลวง เมืองหน้าด่านต้องแข็งระดับไหนถึงจะรอด ยิงแมร่งทิ้งๆๆๆใครเข้ามาแบบผิดๆ,พม่า|มัน|ยึด|สมุทรสาคร|ได้แล้ว|จริงๆ| |ส่ง|ไส้|ศึก|มา|ขนาดนี้|งาม|ไส้|แล้ว| |ยังจะ|มาอีก|ทัพ|หลวง| |เมือง|หน้า|ด่าน|ต้อง|แข็ง|ระดับ|ไหน|ถึง|จะรอด| |ยิง|แมร่ง|ทิ้ง|ๆๆๆ|ใคร|เข้ามา|แบบ|ผิดๆ,#พม่า|มัน|#ยึด|#สมุทรสาคร|ได้แล้ว|จริงๆ| |ส่ง|ไส้|ศึก|มา|ขนาดนี้|งาม|ไส้|แล้ว| |ยังจะ|มาอีก|ทัพ|หลวง| |เมือง|หน้า|ด่าน|ต้อง|แข็ง|ระดับ|ไหน|ถึง|จะรอด| |#ยิง|#แมร่ง|#ทิ้ง|ๆๆๆ|ใคร|เข้ามา|แบบ|ผิดๆ,-2,Hatespeech,Negative,#พม่า มัน #ยึด #สมุทรสาคร ได้แล้ว จริงๆ   ส่ง ไส้ ศึก มา ขนาดนี้ งาม ไส้ แล้ว   ยังจะ มาอีก ทัพ หลวง   เมือง หน้า ด่าน ต้อง แข็ง ระดับ ไหน ถึง จะรอด   #ยิง #แมร่ง #ทิ้ง ๆๆๆ ใคร เข้ามา แบบ ผิดๆ,Anger
ฝายหลวง ป่าไม้แดง เอาพม่าไปฆ่าของให้หมดครับ?55,ฝาย|หลวง| |ป่าไม้|แดง|เอาพม่า|ไป|ฆ่า|ของ|ให้หมด|ครับ,ฝาย|หลวง| |ป่าไม้|แดง|#เอาพม่า|#ไป|#ฆ่า|ของ|#ให้หมด|ครับ,-2,Hatespeech,Negative,ฝาย หลวง   ป่าไม้ แดง #เอาพม่า #ไป #ฆ่า ของ #ให้หมด ครับ,Anger
แยกให้เค้า ไปอยู่ สักที่ สถานที่ ที่จัดให้ นายจ้างคงไม่ตายหรอก หากไม่มี พม่า สัก 2 อาทิต,แยก|ให้เค้า| |ไปอยู่| |สัก|ที่| |สถานที่| |ที่|จัดให้| |นายจ้าง|คงไม่|ตาย|หรอก| |หากไม่มี| |พม่า| |สัก| |อาทิ|ต,,0,Nonhatespeech,Positive,,Others
ไม่ว่าจะเป็นต่างด้าวเขาก็คนเหมือนกันในเมื่อมันเกิดขึ้นแล้วต้องดูแลรักษาจะไม่ออกมาติดคนไทยเกิดเป็นมนุษย์ต้องมีน้ำใจบ้างไม่ใช่ว่าด่าๆๆเห็นความผิดพม่าเท่าภูเขาเลยหรอสงสารเขาบ้างจากบ้านมาไกรพูดภาษาไทยไม่ได้ถ้าตัวเองเจอแบบนี้จะรู้สืกอยังไง,ไม่ว่าจะเป็น|ต่างด้าว|เขาก็|คน|เหมือนกัน|ในเมื่อ|มัน|เกิดขึ้น|แล้ว|ต้อง|ดูแลรักษา|จะไม่|ออกมา|ติด|คนไทย|เกิด|เป็นมนุษย์|ต้อง|มีน้ําใจ|บ้าง|ไม่ใช่ว่า|ด่า|ๆๆ|เห็น|ความผิด|พม่า|เท่า|ภูเขา|เลยหรอ|สงสาร|เขา|บ้าง|จากบ้าน|มา|ไกร|พูด|ภาษาไทย|ไม่ได้|ถ้า|ตัวเอง|เจอแบบนี้|จะรู้|ส|ื|กอ|ยังไง,,1,Nonhatespeech,Neutral,,trust
รู้วันเกิด ไม่รู้วันตาย น่าจะให้พวกพม่านี้ไปทำงานที่ทำเนียบรัฐบาลน่ะ...มันจะได้ติดกันทั้งมำเนียบแล้วมันเอามากักตัวให้เปลืองข้าวเปลืองน้ำทำไมทำไมไส่ส่งกลับประเทศพม่าไป,รู้วันเกิด|ไม่รู้วัน|ตาย|น่าจะให้|พวก|พม่า|นี้|ไปทํางาน|ที่|ทําเนียบ|รัฐบาล|น่ะ|มันจะ|ได้|ติดกัน|ทั้ง|ม|ํา|เนีย|บ|แล้วมัน|เอามา|กักตัว|ให้|เปลือง|ข้าว|เปลือง|น้ํา|ทําไม|ทําไม|ไส|่|ส่งกลับ|ประเทศพม่า|ไป,#รู้วันเกิด|#ไม่รู้วัน|#ตาย|น่าจะให้|#พวก|#พม่า|นี้|ไปทํางาน|ที่|ทําเนียบ|รัฐบาล|น่ะ|มันจะ|ได้|ติดกัน|ทั้ง|ทำ|เนียบ|แล้วมัน|เอามา|กักตัว|ให้|#เปลือง|#ข้าว|#เปลือง|#น้ำ|ทําไม|ทําไม|ไม่|#ส่งกลับ|#ประเทศพม่า|#ไป,-1,Hatespeech,Negative,#รู้วันเกิด #ไม่รู้วัน #ตาย น่าจะให้ #พวก #พม่า นี้ ไปทํางาน ที่ ทําเนียบ รัฐบาล น่ะ มันจะ ได้ ติดกัน ทั้ง ทำ เนียบ แล้วมัน เอามา กักตัว ให้ #เปลือง #ข้าว #เปลือง #น้ำ ทําไม ทําไม ไม่ #ส่งกลับ #ประเทศพม่า #ไป,Anger
ณ ที่แห่งนี้สมุทรสาคร ผมอยู่ที่นี่ห่างจาก ตลาดทะเลไทย 8กม. พี่น้องที่อยู่หมู่บ้านนี้ มีแต่รง. คนไทย7000 พม่า3-4 พัน ผมไม่เห็นเขาวิตกกังวนจนเกินเหตุ ผมก็พึ่งไปซื้อของที่มหาชัยมา ไม่ได้ประมาทนะครับใส่แมสล้างมือตลอด,ณ| |ที่|แห่งนี้|สมุทรสาคร|ผมอยู่ที่นี่|ห่างจาก| |ตลาด|ทะเล|ไทย| |กม| |พี่น้อง|ที่อยู่|หมู่บ้าน|นี้|มีแต่รง| |คนไทย| |พม่า| |พัน|ผมไม่เห็นเขา|วิตก|กัง|วน|จน|เกิน|เหตุ|ผมก็พึ่ง|ไปซื้อ|ของ|ที่|มหาชัย|มา|ไม่ได้ประมาท|นะครับ|ใส่|แมส|ล้างมือ|ตลอด,,0,Nonhatespeech,Positive,,Others
ไม่เห็นใจพวกนี้เชื้อมาแพร่ อยุ่ประเทศตัวเอง มีการรักษาจริงจังหรือเปล่า ทุกวันนี้ไปหาหมอที่ร.พ.เจอแต่พม่า คนไทยต้องรอพม่าตรวจเสร็จคนไทยถึงได้ตรวจ,ไม่เห็นใจ|พวกนี้|เชื้อ|มา|แพร่| |อยุ่|ประเทศ|ตัวเอง|มีการรักษา|จริงจัง|หรือเปล่า|ทุกวันนี้ไปหาหมอ|ที่|รพ|เจอ|แต่|พม่า| |คนไทย|ต้องรอ|พม่า|ตรวจ|เสร็จ|คนไทย|ถึงได้|ตรวจ,,0,Nonhatespeech,Positive,,Others
